message;severity;node;stamp;location
"ENCODER: x: 1.001221; y: 3.193094; omega: 4.880507";"20";"tug_turtlebot4.simple_turtle";"1734544747.557910898";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.975045; y: 3.127680; omega: -1.393153";"20";"tug_turtlebot4.simple_turtle";"1734544747.557660701";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.001368; y: 3.192231; omega: 4.880480";"20";"tug_turtlebot4.simple_turtle";"1734544747.525383489";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.975200; y: 3.126816; omega: -1.393179";"20";"tug_turtlebot4.simple_turtle";"1734544747.524991980";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.001653; y: 3.190550; omega: 4.880805";"20";"tug_turtlebot4.simple_turtle";"1734544747.493673784";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.975498; y: 3.125158; omega: -1.393230";"20";"tug_turtlebot4.simple_turtle";"1734544747.493229744";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.002070; y: 3.188092; omega: 4.880354";"20";"tug_turtlebot4.simple_turtle";"1734544747.459323535";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.975938; y: 3.122705; omega: -1.393305";"20";"tug_turtlebot4.simple_turtle";"1734544747.459033133";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.002626; y: 3.184814; omega: 4.880254";"20";"tug_turtlebot4.simple_turtle";"1734544747.424729574";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.976520; y: 3.119457; omega: -1.393404";"20";"tug_turtlebot4.simple_turtle";"1734544747.424561357";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.003313; y: 3.180761; omega: 4.880130";"20";"tug_turtlebot4.simple_turtle";"1734544747.391515829";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.977245; y: 3.115414; omega: -1.393528";"20";"tug_turtlebot4.simple_turtle";"1734544747.391028501";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.004146; y: 3.175845; omega: 4.879980";"20";"tug_turtlebot4.simple_turtle";"1734544747.355052582";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.978111; y: 3.110577; omega: -1.393676";"20";"tug_turtlebot4.simple_turtle";"1734544747.354822186";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.005102; y: 3.170196; omega: 4.880183";"20";"tug_turtlebot4.simple_turtle";"1734544747.319994157";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.979119; y: 3.104945; omega: -1.393848";"20";"tug_turtlebot4.simple_turtle";"1734544747.319819570";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.006196; y: 3.163727; omega: 4.879985";"20";"tug_turtlebot4.simple_turtle";"1734544747.286493465";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.980267; y: 3.098517; omega: -1.394045";"20";"tug_turtlebot4.simple_turtle";"1734544747.286345176";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.007427; y: 3.156438; omega: 4.879387";"20";"tug_turtlebot4.simple_turtle";"1734544747.253667932";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.981556; y: 3.091295; omega: -1.394266";"20";"tug_turtlebot4.simple_turtle";"1734544747.253550424";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.008786; y: 3.148373; omega: 4.879516";"20";"tug_turtlebot4.simple_turtle";"1734544747.222393721";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.982985; y: 3.083278; omega: -1.394511";"20";"tug_turtlebot4.simple_turtle";"1734544747.222236505";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.010283; y: 3.139488; omega: 4.879245";"20";"tug_turtlebot4.simple_turtle";"1734544747.187692940";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.984554; y: 3.074465; omega: -1.394781";"20";"tug_turtlebot4.simple_turtle";"1734544747.187565143";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.011905; y: 3.129827; omega: 4.878950";"20";"tug_turtlebot4.simple_turtle";"1734544747.153954990";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.986261; y: 3.064857; omega: -1.395074";"20";"tug_turtlebot4.simple_turtle";"1734544747.153753019";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.013663; y: 3.119344; omega: 4.878254";"20";"tug_turtlebot4.simple_turtle";"1734544747.120087292";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 0.988106; y: 3.054453; omega: -1.395393";"20";"tug_turtlebot4.simple_turtle";"1734544747.119938795";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
