left_encoder,right_encoder,time
5,5,5.082
19,19,5.112
43,43,5.142
76,76,5.172
118,118,5.202
169,169,5.232
230,230,5.262
300,300,5.292
379,379,5.322
468,468,5.352
566,566,5.382
673,673,5.412
790,790,5.442
915,915,5.472
1050,1050,5.502
1195,1195,5.532
1348,1348,5.562
1506,1506,5.592
1648,1648,5.622
1822,1822,5.652
1980,1980,5.682
2138,2138,5.712
2297,2297,5.742
2439,2439,5.772
2613,2613,5.802
2771,2771,5.832
2929,2929,5.862
3087,3087,5.892
3245,3245,5.922
3403,3403,5.952
3545,3545,5.982
3719,3719,6.012
3877,3877,6.042
4035,4035,6.072
4193,4193,6.102
4352,4352,6.132
4510,4510,6.162
4668,4668,6.192
4826,4826,6.222
4984,4984,6.252
5142,5142,6.282
5300,5300,6.312
5458,5458,6.342
5616,5616,6.372
5774,5774,6.402
5932,5932,6.432
6090,6090,6.462
6248,6248,6.492
6406,6406,6.522
6565,6565,6.552
6723,6723,6.582
6881,6881,6.612
7039,7039,6.642
7197,7197,6.672
7339,7339,6.702
7513,7513,6.732
7671,7671,6.762
7829,7829,6.792
7987,7987,6.822
8145,8145,6.852
8303,8303,6.882
8461,8461,6.912
8620,8620,6.942
8778,8778,6.972
8936,8936,7.002
9094,9094,7.032
9252,9252,7.062
9410,9410,7.092
9568,9568,7.122
9726,9726,7.155
9884,9884,7.182
10042,10042,7.212
10200,10200,7.242
10358,10358,7.272
10516,10516,7.302
10675,10675,7.332
10833,10833,7.362
10991,10991,7.392
11149,11149,7.422
11307,11307,7.452
11465,11465,7.482
11623,11623,7.512
11781,11781,7.542
11829,11828,7.572
11829,11828,7.602
11829,11828,7.632
11881,11776,7.662
11881,11776,7.692
11881,11776,7.722
11881,11776,7.752
11881,11776,7.782
11881,11776,7.812
11881,11776,7.842
12152,11504,7.872
12152,11504,7.902
12225,11432,7.932
12225,11432,7.965
12225,11432,7.992
12225,11432,8.022
12225,11432,8.052
12225,11432,8.082
12225,11432,8.112
12225,11432,8.142
12225,11432,8.172
12225,11432,8.202
12225,11432,8.232
12225,11432,8.262
12225,11432,8.292
12225,11432,8.322
12225,11432,8.352
12225,11432,8.382
12225,11432,8.412
12225,11432,8.442
12225,11432,8.472
12225,11432,8.502
12225,11432,8.532
12225,11432,8.562
12225,11432,8.592
12225,11432,8.622
12225,11432,8.652
12225,11432,8.682
12225,11432,8.712
13325,10331,8.742
13325,10331,8.772
