x_dis,y_diy,yaw,time
0.001201,4.09144e-06,0.00090724,5.082
0.00245238,5.20483e-06,0.00086957,5.115
0.00451111,6.93641e-06,0.00080759,5.142
0.00737719,9.13801e-06,0.000721299,5.172
0.0110506,1.16026e-05,0.000610698,5.202
0.0155314,1.40642e-05,0.000475787,5.232
0.0208195,1.6198e-05,0.000316565,5.262
0.026915,1.76204e-05,0.000133033,5.292
0.0338178,1.78888e-05,-7.48096e-05,5.322
0.041528,1.65017e-05,-0.000306963,5.352
0.0500455,1.28988e-05,-0.000563426,5.382
0.0593704,6.46086e-06,-0.0008442,5.412
0.0695027,-3.49019e-06,-0.00114928,5.445
0.0804422,-1.76913e-05,-0.00147868,5.472
0.0921891,-3.69384e-05,-0.00183238,5.502
0.104743,-6.20862e-05,-0.0022104,5.535
0.118105,-9.40483e-05,-0.00261273,5.562
0.13186,-0.000132558,-0.0030269,5.592
0.145615,-0.000176765,-0.00344108,5.622
0.159369,-0.000226669,-0.00385525,5.652
0.173124,-0.00028227,-0.00426943,5.682
0.186879,-0.000343567,-0.0046836,5.712
0.200634,-0.000410562,-0.00509778,5.742
0.214388,-0.000483253,-0.00551195,5.772
0.228143,-0.000561641,-0.00592613,5.805
0.241897,-0.000645726,-0.0063403,5.835
0.255652,-0.000735507,-0.00675448,5.862
0.269406,-0.000830986,-0.00716865,5.892
0.283161,-0.000932161,-0.00758283,5.922
0.296915,-0.00103903,-0.007997,5.952
0.31067,-0.0011516,-0.00841118,5.982
0.324424,-0.00126987,-0.00882535,6.012
0.338178,-0.00139383,-0.00923953,6.042
0.351933,-0.00152349,-0.0096537,6.072
0.365687,-0.00165884,-0.0100679,6.102
0.379441,-0.0017999,-0.0104821,6.132
0.393195,-0.00194664,-0.0108962,6.162
0.406949,-0.00209909,-0.0113104,6.192
0.420703,-0.00225723,-0.0117246,6.222
0.434457,-0.00242107,-0.0121388,6.252
0.448211,-0.00259061,-0.0125529,6.282
0.461964,-0.00276584,-0.0129671,6.312
0.475718,-0.00294676,-0.0133813,6.345
0.489472,-0.00313339,-0.0137955,6.372
0.503225,-0.00332571,-0.0142096,6.402
0.516979,-0.00352373,-0.0146238,6.432
0.530732,-0.00372744,-0.015038,6.462
0.544485,-0.00393685,-0.0154522,6.492
0.558238,-0.00415196,-0.0158663,6.522
0.571992,-0.00437276,-0.0162805,6.552
0.585745,-0.00459926,-0.0166947,6.582
0.599497,-0.00483145,-0.0171089,6.615
0.61325,-0.00506934,-0.017523,6.642
0.627003,-0.00531293,-0.0179372,6.672
0.640756,-0.00556221,-0.0183514,6.702
0.654508,-0.00581719,-0.0187656,6.732
0.66826,-0.00607786,-0.0191797,6.762
0.682013,-0.00634423,-0.0195939,6.792
0.695765,-0.0066163,-0.0200081,6.822
0.709517,-0.00689406,-0.0204223,6.852
0.723269,-0.00717752,-0.0208364,6.882
0.737021,-0.00746667,-0.0212506,6.912
0.750772,-0.00776152,-0.0216648,6.942
0.764524,-0.00806206,-0.022079,6.972
0.778275,-0.0083683,-0.0224931,7.002
0.792027,-0.00868024,-0.0229073,7.032
0.805778,-0.00899787,-0.0233215,7.062
0.819529,-0.0093212,-0.0237357,7.092
0.83328,-0.00965022,-0.0241498,7.122
0.847031,-0.00998494,-0.024564,7.152
0.860781,-0.0103253,-0.0249782,7.182
0.874532,-0.0106715,-0.0253924,7.212
0.888282,-0.0110233,-0.0258065,7.242
0.902032,-0.0113808,-0.0262207,7.272
0.915782,-0.0117439,-0.0266349,7.302
0.929532,-0.0121128,-0.0270491,7.332
0.943282,-0.0124874,-0.0274632,7.362
0.957032,-0.0128677,-0.0278774,7.392
0.970781,-0.0132537,-0.0282916,7.422
0.98453,-0.0136453,-0.0287058,7.452
0.99828,-0.0140427,-0.0291199,7.482
1.01203,-0.0144457,-0.0295341,7.512
1.02578,-0.0148545,-0.0299483,7.542
1.03832,-0.0150234,-0.0317833,7.572
1.0463,-0.0150388,-0.0332047,7.602
1.04889,-0.0150182,-0.0374109,7.632
1.0491,-0.0150294,-0.058857,7.662
1.04932,-0.0150519,-0.0872244,7.692
1.04956,-0.0150823,-0.11712,7.722
1.04979,-0.0151198,-0.147015,7.752
1.05002,-0.0151642,-0.17691,7.782
1.05026,-0.0152155,-0.206805,7.812
1.05049,-0.0152736,-0.2367,7.842
1.05071,-0.0153386,-0.266595,7.872
1.05094,-0.0154103,-0.29649,7.902
1.05116,-0.0154888,-0.326385,7.932
1.05138,-0.0155738,-0.35628,7.962
1.0516,-0.0156655,-0.386175,7.992
1.05182,-0.0157635,-0.416071,8.022
1.05203,-0.015868,-0.445966,8.052
1.05224,-0.0159788,-0.475861,8.082
1.05244,-0.0160957,-0.505756,8.112
1.05264,-0.0162188,-0.535651,8.142
1.05284,-0.0163478,-0.565546,8.172
1.05304,-0.0164827,-0.595441,8.202
1.05323,-0.0166234,-0.625336,8.232
1.05341,-0.0167696,-0.655231,8.262
1.0536,-0.0169214,-0.685126,8.292
1.05377,-0.0170785,-0.715021,8.325
1.05394,-0.0172409,-0.744917,8.352
1.05411,-0.0174083,-0.774812,8.382
1.05427,-0.0175806,-0.804707,8.412
1.05443,-0.0177577,-0.834602,8.442
1.05458,-0.0179395,-0.864497,8.472
1.05473,-0.0181256,-0.894392,8.502
1.05487,-0.0183161,-0.924287,8.532
1.055,-0.0185107,-0.954182,8.562
1.05513,-0.0187092,-0.984077,8.592
1.05526,-0.0189114,-1.01397,8.622
1.05537,-0.0191173,-1.04387,8.652
1.05548,-0.0193265,-1.07376,8.682
1.05559,-0.019539,-1.10366,8.712
1.05568,-0.0197545,-1.13355,8.742
1.05578,-0.0199728,-1.16345,8.772
1.05586,-0.0201937,-1.19334,8.802
1.05594,-0.0204171,-1.22324,8.832
1.05601,-0.0206427,-1.25313,8.862
1.05608,-0.0208703,-1.28303,8.892
1.05613,-0.0210998,-1.31292,8.922
1.05618,-0.0213309,-1.34282,8.952
1.05623,-0.0215634,-1.37271,8.982
1.05627,-0.0217972,-1.40261,9.012
1.0563,-0.0220319,-1.4325,9.042
1.05632,-0.0222675,-1.4624,9.072
1.05633,-0.0225036,-1.49229,9.102
1.05634,-0.0227401,-1.52219,9.132
1.05635,-0.0229767,-1.55208,9.162
1.05634,-0.0232133,-1.58198,9.192
1.05633,-0.0234497,-1.61187,9.222
1.05631,-0.0236855,-1.64177,9.252
1.05628,-0.0239207,-1.67166,9.282
1.05625,-0.024155,-1.70156,9.312
1.05621,-0.0243882,-1.73145,9.342
1.05616,-0.02462,-1.76135,9.372
1.05611,-0.0248504,-1.79124,9.402
1.05605,-0.025079,-1.82114,9.432
1.05598,-0.0253057,-1.85103,9.462
1.0559,-0.0255303,-1.88093,9.492
1.05582,-0.0257525,-1.91082,9.522
1.05573,-0.0259722,-1.94072,9.552
1.05564,-0.0261892,-1.97062,9.582
1.05554,-0.0264032,-2.00051,9.612
1.05543,-0.0266142,-2.03041,9.642
1.05532,-0.0268218,-2.0603,9.672
1.0552,-0.0270259,-2.0902,9.702
1.05507,-0.0272264,-2.12009,9.732
1.05494,-0.0274231,-2.14999,9.762
1.0548,-0.0276157,-2.17988,9.792
1.05466,-0.0278041,-2.20978,9.822
1.05451,-0.0279881,-2.23967,9.852
1.05436,-0.0281676,-2.26957,9.882
1.0542,-0.0283425,-2.29946,9.912
1.05403,-0.0285124,-2.32936,9.942
1.05386,-0.0286774,-2.35925,9.975
1.05369,-0.0288373,-2.38915,10.002
1.05351,-0.0289918,-2.41904,10.032
1.05333,-0.0291375,-2.44824,10.062
1.05318,-0.02925,-2.47156,10.092
1.05308,-0.029327,-2.48794,10.122
1.05302,-0.0293706,-2.4974,10.152
1.053,-0.0293822,-2.49993,10.182
1.05303,-0.0293621,-2.49553,10.212
1.0531,-0.0293097,-2.4842,10.242
1.05322,-0.0292236,-2.46595,10.272
1.05338,-0.0291014,-2.44076,10.302
1.05356,-0.0289519,-2.41098,10.332
1.05374,-0.0287964,-2.38108,10.362
1.05391,-0.0286357,-2.35119,10.395
1.05408,-0.0284699,-2.32129,10.422
1.05424,-0.0282991,-2.2914,10.452
1.0544,-0.0281234,-2.2615,10.482
1.05455,-0.0279431,-2.23161,10.512
1.0547,-0.0277583,-2.20171,10.542
1.05484,-0.0275692,-2.17182,10.572
1.05498,-0.0273759,-2.14192,10.602
