message;severity;node;stamp;location
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542448.251858015";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.985289447";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.832919888";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.728498462";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.642840023";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.578772321";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.521464099";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.474446683";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.425888894";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.384338026";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.351685792";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.311823730";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.281403166";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.253317794";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078596; y: 1.068601; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.227252864";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078595; y: 1.068600; omega: 1.490277";"20";"tug_turtlebot4.simple_turtle";"1734542447.223147536";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
